m = 1.38352 + 3.18056i 
1 2 3 0 0 = columns for wave, Re(N), Im(N), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001  1.38352       3.18056
  1.000000  1.38352       3.18056
  100000.0  1.38352       3.18056
