m = 0.1801 + 3.1i 
1 2 3 0 0 = columns for wave, Re(N), Im(N), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001  0.1801       3.1
  1.000000  0.1801       3.1
  100000.0  0.1801       3.1
