m = 1.46 + 1.958i 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001   1.46       1.958
  1.000000   1.46       1.958
  100000.0   1.46       1.958
