m = 0.07 + 1.657i 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001  0.07       1.657
  1.000000  0.07       1.657
  100000.0  0.07       1.657
