m = 3.5184  + 5.88233i 
1 2 3 0 0 = columns for wave, Re(N), Im(N), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001  3.5184        5.88233
  1.000000  3.5184        5.88233
  100000.0  3.5184        5.88233
