m = 1.52448 + 2.35621i 
1 2 3 0 0 = columns for wave, Re(N), Im(N), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001  1.52448       2.35621
  1.000000  1.52448       2.35621
  100000.0  1.52448       2.35621
