m = 0.166 + 3.15i 
1 2 3 0 0 = columns for wave, Re(N), Im(N), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001  0.166       3.15
  1.000000  0.166       3.15
  100000.0  0.166       3.15
