m = 0.993 + 0.0021i 
1 2 3 0 0 = columns for wave, Re(N), Im(N), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.000001  0.993       0.0021
  1.000000  0.993       0.0021
  100000.0  0.993       0.0021
